date,permno,prc,ret,vol,shrout,bid,ask,cfacpr,cfacshr,ticker,prc_abs,prc_adj,shrout_adj,market_cap_adj,spread
2023-02-24,14593,146.71001,-0.018005,55422000.0,15821946.0,146.71001,146.72,1.0,1.0,NVDA,146.71001,146.71001,15821946.0,2321237855.8794603,0.009989999999987731
2023-02-27,14593,147.92,0.008248,44971573.0,15821946.0,147.91,147.92,1.0,1.0,NVDA,147.92,147.92,15821946.0,2340382252.3199997,0.009999999999990905
2023-02-28,14593,147.41,-0.003448,50500071.0,15821946.0,147.39,147.39999,1.0,1.0,NVDA,147.41,147.41,15821946.0,2332313059.86,0.009990000000016153
2023-03-01,14593,145.31,-0.014246,55362416.0,15821946.0,145.31,145.34,1.0,1.0,NVDA,145.31,145.31,15821946.0,2299086973.26,0.030000000000001137
2023-03-02,14593,145.91,0.004129,52203184.0,15821946.0,145.92,145.95,1.0,1.0,NVDA,145.91,145.91,15821946.0,2308580140.86,0.030000000000001137
2023-03-03,14593,151.03,0.03509,70657336.0,15821946.0,151.10001,151.11,1.0,1.0,NVDA,151.03,151.03,15821946.0,2389588504.38,0.009990000000016153
2023-03-06,14593,153.83,0.018539,87408056.0,15821946.0,153.87,153.89,1.0,1.0,NVDA,153.83,153.83,15821946.0,2433889953.1800003,0.01999999999998181
2023-03-07,14593,151.60001,-0.014497,56106595.0,15821946.0,151.57001,151.62,1.0,1.0,NVDA,151.60001,151.60001,15821946.0,2398607171.81946,0.049990000000008195
2023-03-08,14593,152.87,0.008377,47130186.0,15821946.0,152.89,152.89999,1.0,1.0,NVDA,152.87,152.87,15821946.0,2418700885.02,0.009990000000016153
2023-03-09,14593,150.59,-0.014915,53784564.0,15821946.0,150.53999,150.56,1.0,1.0,NVDA,150.59,150.59,15821946.0,2382626848.14,0.020010000000013406
2023-03-10,14593,148.5,-0.013879,68503603.0,15821946.0,148.46001,148.48,1.0,1.0,NVDA,148.5,148.5,15821946.0,2349558981.0,0.019989999999978636
2023-03-13,14593,150.47,0.013266,84356897.0,15821946.0,150.45,150.46001,1.0,1.0,NVDA,150.47,150.47,15821946.0,2380728214.62,0.010010000000022501
2023-03-14,14593,152.59,0.014089,73605111.0,15821946.0,152.50999,152.50999,1.0,1.0,NVDA,152.59,152.59,15821946.0,2414270740.14,0.0
2023-03-15,14593,152.99001,0.002621,77069387.0,15821946.0,152.99001,153.0,1.0,1.0,NVDA,152.99001,152.99001,15821946.0,2420599676.75946,0.009989999999987731
2023-03-16,14593,155.85001,0.018694,76132376.0,15821946.0,155.89,155.91,1.0,1.0,NVDA,155.85001,155.85001,15821946.0,2465850442.31946,0.020000000000010232
2023-03-17,14593,155.0,-0.005454,98767284.0,15821946.0,155.05,155.06,1.0,1.0,NVDA,155.0,155.0,15821946.0,2452401630.0,0.009999999999990905
2023-03-20,14593,157.39999,0.015484,73553685.0,15821946.0,157.46001,157.47,1.0,1.0,NVDA,157.39999,157.39999,15821946.0,2490374142.18054,0.009989999999987731
2023-03-21,14593,159.28,0.011944,73734393.0,15821946.0,159.36,159.41,1.0,1.0,NVDA,159.28,159.28,15821946.0,2520119558.88,0.04999999999998295
2023-03-22,14593,157.83,-0.009103,75564534.0,15821946.0,157.81,157.82001,1.0,1.0,NVDA,157.83,157.83,15821946.0,2497177737.1800003,0.01000999999999408
2023-03-23,14593,158.92999,0.006969,68403605.0,15821946.0,158.89,158.89999,1.0,1.0,NVDA,158.92999,158.92999,15821946.0,2514581719.56054,0.009990000000016153
2023-03-24,14593,160.25,0.008306,59412132.0,15821946.0,160.25999,160.27,1.0,1.0,NVDA,160.25,160.25,15821946.0,2535466846.5,0.010010000000022501
2023-03-27,14593,158.28,-0.012293,52352677.0,15821946.0,158.28999,158.31,1.0,1.0,NVDA,158.28,158.28,15821946.0,2504297612.88,0.020010000000013406
2023-03-28,14593,157.64999,-0.00398,45899773.0,15821946.0,157.66,157.67,1.0,1.0,NVDA,157.64999,157.64999,15821946.0,2494329628.68054,0.009999999999990905
2023-03-29,14593,160.77,0.019791,51238677.0,15821946.0,160.78,160.78999,1.0,1.0,NVDA,160.77,160.77,15821946.0,2543694258.42,0.009989999999987731
2023-03-30,14593,162.36,0.00989,49371032.0,15821946.0,162.36,162.38,1.0,1.0,NVDA,162.36,162.36,15821946.0,2568851152.5600004,0.01999999999998181
2023-03-31,14593,164.89999,0.015644,68668675.0,15723406.0,164.82001,164.84,1.0,1.0,NVDA,164.89999,164.89999,15723406.0,2592789492.16594,0.019990000000007058
2023-04-03,14593,166.17,0.007702,56871179.0,15723406.0,166.10001,166.11,1.0,1.0,NVDA,166.17,166.17,15723406.0,2612758375.02,0.009990000000016153
2023-04-04,14593,165.63,-0.00325,46236964.0,15723406.0,165.64,165.66,1.0,1.0,NVDA,165.63,165.63,15723406.0,2604267735.7799997,0.020000000000010232
2023-04-05,14593,163.75999,-0.01129,51438373.0,15723406.0,163.74001,163.75999,1.0,1.0,NVDA,163.75999,163.75999,15723406.0,2574864809.3259397,0.019979999999975462
2023-04-06,14593,164.66,0.005496,45322123.0,15723406.0,164.64,164.64999,1.0,1.0,NVDA,164.66,164.66,15723406.0,2589016031.96,0.009990000000016153
2023-04-10,14593,162.03,-0.015972,47665360.0,15723406.0,162.02,162.03,1.0,1.0,NVDA,162.03,162.03,15723406.0,2547663474.18,0.009999999999990905
2023-04-11,14593,160.8,-0.007591,47580439.0,15723406.0,160.8,160.82001,1.0,1.0,NVDA,160.8,160.8,15723406.0,2528323684.8,0.020009999999984984
2023-04-12,14593,160.10001,-0.004353,50076865.0,15723406.0,160.12,160.14,1.0,1.0,NVDA,160.10001,160.10001,15723406.0,2517317457.83406,0.01999999999998181
2023-04-13,14593,165.56,0.034104,68370311.0,15723406.0,165.58,165.60001,1.0,1.0,NVDA,165.56,165.56,15723406.0,2603167097.36,0.020009999999984984
2023-04-14,14593,165.21001,-0.002114,49330134.0,15723406.0,165.2,165.23,1.0,1.0,NVDA,165.21001,165.21001,15723406.0,2597664062.49406,0.030000000000001137
2023-04-17,14593,165.23,0.000121,41457771.0,15723406.0,165.27,165.28,1.0,1.0,NVDA,165.23,165.23,15723406.0,2597978373.3799996,0.009999999999990905
2023-04-18,14593,166.47,0.007505,49869377.0,15723406.0,166.45,166.46001,1.0,1.0,NVDA,166.47,166.47,15723406.0,2617475396.82,0.010010000000022501
2023-04-19,14593,167.63,0.006968,48671790.0,15723406.0,167.60001,167.62,1.0,1.0,NVDA,167.63,167.63,15723406.0,2635714547.7799997,0.019990000000007058
2023-04-20,14593,166.64999,-0.005846,52415335.0,15723406.0,166.64999,166.66,1.0,1.0,NVDA,166.64999,166.64999,15723406.0,2620305452.66594,0.01000999999999408
2023-04-21,14593,165.02,-0.009781,58331160.0,15728702.0,165.00999,165.02,1.0,1.0,NVDA,165.02,165.02,15728702.0,2595550404.04,0.010010000000022501
2023-04-24,14593,165.33,0.001879,41908798.0,15728702.0,165.35001,165.36,1.0,1.0,NVDA,165.33,165.33,15728702.0,2600426301.6600003,0.009990000000016153
2023-04-25,14593,163.77,-0.009436,48644200.0,15728702.0,163.8,163.82001,1.0,1.0,NVDA,163.77,163.77,15728702.0,2575889526.54,0.020009999999984984
2023-04-26,14593,163.75999,-6.1e-05,45395607.0,15728702.0,163.7,163.72,1.0,1.0,NVDA,163.75999,163.75999,15728702.0,2575732082.23298,0.020000000000010232
2023-04-27,14593,168.41,0.028395,64819133.0,15728702.0,168.39999,168.41,1.0,1.0,NVDA,168.41,168.41,15728702.0,2648870703.82,0.01000999999999408
2023-04-28,14593,169.67999,0.007541,55205261.0,15728702.0,169.69,169.69,1.0,1.0,NVDA,169.67999,169.67999,15728702.0,2668845998.07298,0.0
2023-05-01,14593,169.59,-0.00053,52403153.0,15728702.0,169.55,169.56,1.0,1.0,NVDA,169.59,169.59,15728702.0,2667430572.18,0.009999999999990905
2023-05-02,14593,168.53999,-0.006191,48369840.0,15728702.0,168.53999,168.55,1.0,1.0,NVDA,168.53999,168.53999,15728702.0,2650915277.7929797,0.010010000000022501
2023-05-03,14593,167.45,-0.006467,65080645.0,15728702.0,167.47,167.49001,1.0,1.0,NVDA,167.45,167.45,15728702.0,2633771149.8999996,0.020010000000013406
2023-05-04,14593,165.78999,-0.009913,81141389.0,15728702.0,165.78,165.78999,1.0,1.0,NVDA,165.78999,165.78999,15728702.0,2607661347.2929797,0.009989999999987731
2023-05-05,14593,173.57001,0.046927,113187883.0,15728702.0,173.62,173.63,1.0,1.0,NVDA,173.57001,173.57001,15728702.0,2730030963.42702,0.009999999999990905
2023-05-08,14593,173.5,-0.000403,55858746.0,15728702.0,173.52,173.53,1.0,1.0,NVDA,173.5,173.5,15728702.0,2728929797.0,0.009999999999990905
2023-05-09,14593,171.77,-0.009971,45246781.0,15728702.0,171.78,171.8,1.0,1.0,NVDA,171.77,171.77,15728702.0,2701719142.54,0.020000000000010232
2023-05-10,14593,173.55499,0.010392,53649691.0,15728702.0,173.55,173.56,1.0,1.0,NVDA,173.55499,173.55499,15728702.0,2729794718.32298,0.009999999999990905
2023-05-11,14593,173.75,0.001124,49445230.0,15728702.0,173.81,173.84,1.0,1.0,NVDA,173.75,173.75,15728702.0,2732861972.5,0.030000000000001137
2023-05-12,14593,172.57001,-0.00541,45485175.0,15728702.0,172.53999,172.57001,1.0,1.0,NVDA,172.57001,172.57001,15728702.0,2714302261.42702,0.030020000000007485
2023-05-15,14593,172.07001,-0.002897,37224505.0,15728702.0,172.13,172.14,1.0,1.0,NVDA,172.07001,172.07001,15728702.0,2706437910.42702,0.009999999999990905
2023-05-16,14593,172.07001,0.0,42037251.0,15728702.0,172.08,172.09,1.0,1.0,NVDA,172.07001,172.07001,15728702.0,2706437910.42702,0.009999999999990905
2023-05-17,14593,172.69,0.003603,58029117.0,15728702.0,172.63,172.64999,1.0,1.0,NVDA,172.69,172.69,15728702.0,2716189548.38,0.019990000000007058
2023-05-18,14593,175.05,0.013666,65401597.0,15728702.0,175.06,175.07001,1.0,1.0,NVDA,175.05,175.05,15728702.0,2753309285.1000004,0.01000999999999408
2023-05-19,14593,175.16,0.000628,55760319.0,15728702.0,175.19,175.21001,1.0,1.0,NVDA,175.16,175.16,15728702.0,2755039442.32,0.020010000000013406
2023-05-22,14593,174.2,-0.005481,43589818.0,15728702.0,174.24001,174.25999,1.0,1.0,NVDA,174.2,174.2,15728702.0,2739939888.3999996,0.019979999999975462
2023-05-23,14593,171.56,-0.015155,50655668.0,15728702.0,171.52,171.55,1.0,1.0,NVDA,171.56,171.56,15728702.0,2698416115.12,0.030000000000001137
2023-05-24,14593,171.84,0.001632,45073756.0,15728702.0,171.84,171.86,1.0,1.0,NVDA,171.84,171.84,15728702.0,2702820151.68,0.020000000000010232
2023-05-25,14593,172.99001,0.006692,56205198.0,15728702.0,172.99001,173.0,1.0,1.0,NVDA,172.99001,172.99001,15728702.0,2720908316.26702,0.009989999999987731
2023-05-26,14593,175.42999,0.014105,54734200.0,15728702.0,175.38,175.39,1.0,1.0,NVDA,175.42999,175.42999,15728702.0,2759286034.57298,0.009999999999990905
2023-05-30,14593,177.3,0.01066,55885562.0,15728702.0,177.33,177.35001,1.0,1.0,NVDA,177.3,177.3,15728702.0,2788698864.6000004,0.020009999999984984
2023-05-31,14593,177.25,-0.000282,99479797.0,15728702.0,177.42,177.42999,1.0,1.0,NVDA,177.25,177.25,15728702.0,2787912429.5,0.009990000000016153
2023-06-01,14593,180.09,0.016023,68798028.0,15728702.0,180.10001,180.11,1.0,1.0,NVDA,180.09,180.09,15728702.0,2832581943.18,0.009990000000016153
2023-06-02,14593,180.95,0.004775,61931908.0,15728702.0,180.94,180.96001,1.0,1.0,NVDA,180.95,180.95,15728702.0,2846108626.8999996,0.020010000000013406
2023-06-05,14593,179.58,-0.007571,121844863.0,15728702.0,179.60001,179.61,1.0,1.0,NVDA,179.58,179.58,15728702.0,2824560305.1600003,0.009990000000016153
2023-06-06,14593,179.21001,-0.00206,64804422.0,15728702.0,179.14999,179.16,1.0,1.0,NVDA,179.21001,179.21001,15728702.0,2818740842.7070203,0.01000999999999408
2023-06-07,14593,177.82001,-0.007756,61850364.0,15728702.0,177.82001,177.83,1.0,1.0,NVDA,177.82001,177.82001,15728702.0,2796877946.92702,0.009990000000016153
