date,permno,prc,ret,vol,shrout,bid,ask,ticker,market_cap,spread
2020-11-02,14593,108.77,-0.000827,122778723.0,17001802.0,108.76,108.77,NVDA,1849286003.54,0.009999999999990905
2020-11-03,14593,110.44,0.015354,107553090.0,17001802.0,110.37,110.38,NVDA,1877679012.8799999,0.009999999999990905
2020-11-04,14593,114.95,0.040837,138138974.0,17001802.0,114.93,114.94,NVDA,1954357139.9,0.009999999999990905
2020-11-05,14593,119.03,0.035494,126310647.0,17001802.0,118.98,119.01,NVDA,2023724492.06,0.030000000000001137
2020-11-06,14593,118.69,-0.001134,114409778.0,17001802.0,118.68,118.69,NVDA,2017943879.3799999,0.009999999999990905
2020-11-09,14593,116.32,-0.019968,154379369.0,17001802.0,116.31,116.32,NVDA,1977649608.6399999,0.009999999999990905
2020-11-10,14593,115.97,-0.003009,135799280.0,17001802.0,115.97,115.98,NVDA,1971698977.94,0.010000000000005116
2020-11-11,14593,119.49,0.030353,112247789.0,17001802.0,119.49,119.51,NVDA,2031545320.98,0.020000000000010232
2020-11-12,14593,119.21,-0.002343,103416642.0,17001802.0,119.23,119.26,NVDA,2026784816.4199998,0.030000000000001137
2020-11-13,14593,119.26,0.000419,81647331.0,17001802.0,119.24,119.25,NVDA,2027634906.52,0.010000000000005116
2020-11-16,14593,120.3,0.00872,91110703.0,17001802.0,120.34,120.35,NVDA,2045316780.6,0.009999999999990905
2020-11-17,14593,119.39,-0.007564,74258839.0,17001802.0,119.36,119.39,NVDA,2029845140.78,0.030000000000001137
2020-11-18,14593,118.03,-0.011391,76042019.0,17001802.0,118.0,118.01,NVDA,2006722690.06,0.010000000000005116
2020-11-19,14593,118.64,0.005168,74133445.0,17001802.0,118.63,118.64,NVDA,2017093789.28,0.010000000000005116
2020-11-20,14593,117.34,-0.010958,73549402.0,17001802.0,117.32,117.33,NVDA,1994991446.68,0.010000000000005116
2020-11-23,14593,113.85,-0.029743,127821075.0,17001802.0,113.85,113.88,NVDA,1935655157.6999998,0.030000000000001137
2020-11-24,14593,115.17,0.011594,113784471.0,17001802.0,115.16,115.17,NVDA,1958097536.34,0.010000000000005116
2020-11-25,14593,116.03,0.007467,76418915.0,17001802.0,116.02,116.03,NVDA,1972719086.06,0.010000000000005116
2020-11-27,14593,116.59,0.004826,46657288.0,17001802.0,116.59,116.6,NVDA,1982240095.18,0.009999999999990905
2020-11-30,14593,119.05,0.0211,169242194.0,17001802.0,119.05,119.07,NVDA,2024064528.1,0.01999999999999602
2020-12-01,14593,122.72,0.030827,127991618.0,17001802.0,122.7,122.71,NVDA,2086461141.44,0.009999999999990905
2020-12-02,14593,123.08,0.002934,88942532.0,17001802.0,123.07,123.08,NVDA,2092581790.16,0.010000000000005116
2020-12-03,14593,122.94,-0.001137,78855661.0,17001802.0,122.94,123.05,NVDA,2090201537.8799999,0.10999999999999943
2020-12-04,14593,122.25,-0.005613,78131082.0,17001802.0,122.24,122.25,NVDA,2078470294.5,0.010000000000005116
2020-12-07,14593,123.75,0.01227,86661259.0,17001802.0,123.76,123.8,NVDA,2103972997.5,0.03999999999999204
2020-12-08,14593,124.38,0.005091,82138626.0,17001802.0,124.34,124.37,NVDA,2114684132.76,0.030000000000001137
2020-12-09,14593,121.78,-0.020904,115185526.0,17001802.0,121.67,121.74,NVDA,2070479447.56,0.06999999999999318
2020-12-10,14593,123.24,0.011989,81255400.0,17001802.0,123.22,123.25,NVDA,2095302078.48,0.030000000000001137
2020-12-11,14593,122.41,-0.006735,86803288.0,17001802.0,122.48,122.49,NVDA,2081190582.82,0.009999999999990905
2020-12-14,14593,121.78,-0.005147,79203119.0,17001802.0,121.7,121.77,NVDA,2070479447.56,0.06999999999999318
2020-12-15,14593,127.88,0.05009,157265881.0,17001802.0,127.89,127.9,NVDA,2174190439.7599998,0.010000000000005116
2020-12-16,14593,127.81,-0.000547,98119593.0,17001802.0,127.74,127.75,NVDA,2173000313.62,0.010000000000005116
2020-12-17,14593,128.7,0.006963,94296037.0,17001802.0,128.64999,128.7,NVDA,2188131917.3999996,0.05000999999998612
2020-12-18,14593,126.655,-0.01589,192458161.0,17001802.0,126.65,126.66,NVDA,2153363232.31,0.009999999999990905
2020-12-21,14593,128.23,0.012435,121045980.0,17001802.0,128.23,128.24001,NVDA,2180141070.46,0.010010000000022501
2020-12-22,14593,131.88,0.028465,169237476.0,17001802.0,131.84,131.88,NVDA,2242197647.7599998,0.03999999999999204
2020-12-23,14593,130.96001,-0.006976,88169905.0,17001802.0,130.95,130.96001,NVDA,2226556159.93802,0.010010000000022501
2020-12-24,14593,131.97,0.007712,54892884.0,16823263.0,131.97,132.0,NVDA,2220166018.11,0.030000000000001137
2020-12-28,14593,136.69,0.035766,124412013.0,16823263.0,136.72,136.74001,NVDA,2299571819.47,0.020010000000013406
